CEP;CHAVE;UF;TIPO;TITULO;PREPOSICAO;NOME;BAIRRO1;BAIRRO2;LIMINFPAR;LIMINFIMPA;LIMSUPPAR;LIMSUPIMPA;FLAGS;LADOS
1409002;01000;SP;R;;;PEIXOTO GOMIDE;JARDIM PAULISTA;;1250;0;99999999;0;0;2
1409003;01000;SP;R;;;PEIXOTO GOMIDE;JARDIM PAULISTA;;0;1251;0;99999999;0;32
1409010;01000;SP;R;;;TATUI;JARDIM PAULISTA;;0;0;99999999;99999999;0;17
1409020;01000;SP;R;;;LUPERCIO DE CAMARGO;JARDIM PAULISTA;;0;0;99999999;99999999;0;17
1409030;01000;SP;R;PROF;;AZEVEDO AMARAL;JARDIM PAULISTA;;0;0;99999999;99999999;0;17
1409900;01000;SP;R;;;PEIXOTO GOMIDE;JARDIM PAULISTA;;996;996;996;996;6;34
1409901;01000;SP;R;;;PEIXOTO GOMIDE;JARDIM PAULISTA;;209;209;209;209;6;34
1409902;01000;SP;R;;;PEIXOTO GOMIDE;JARDIM PAULISTA;;625;625;625;625;6;34
1409904;01000;SP;R;;;PEIXOTO GOMIDE;JARDIM PAULISTA;;768;768;768;768;6;34
1410000;01000;SP;AL;MIN;;ROCHA AZEVEDO;CERQUEIRA CESAR;;0;0;798;0;0;2
1410001;01000;SP;AL;MIN;;ROCHA AZEVEDO;CERQUEIRA CESAR;;0;0;0;799;0;32
1410002;01000;SP;AL;MIN;;ROCHA AZEVEDO;CERQUEIRA CESAR;;800;0;99999999;0;0;2
1410003;01000;SP;AL;MIN;;ROCHA AZEVEDO;CERQUEIRA CESAR;;0;801;0;99999999;0;32
1410010;01000;SP;TV;;DAS;CONSTELACOES;CERQUEIRA CESAR;;0;0;99999999;99999999;0;17
1410020;01000;SP;R;;;VICENTE FELIX;CERQUEIRA CESAR;;0;0;99999999;99999999;0;17
1410030;01000;SP;TV;;DA;ESTRELA SIRIUS;CERQUEIRA CESAR;;0;0;99999999;99999999;0;17
1410900;01000;SP;AL;MIN;;ROCHA AZEVEDO;CERQUEIRA CESAR;;25;25;25;25;6;34
1410901;01000;SP;AL;MIN;;ROCHA AZEVEDO;CERQUEIRA CESAR;;366;366;366;366;6;34
1411000;01000;SP;R;PADRE;;JOAO MANUEL;CERQUEIRA CESAR;;0;0;99999999;0;0;15
1411001;01000;SP;R;PADRE;;JOAO MANUEL;CERQUEIRA CESAR;;0;0;0;99999999;0;240
1411007;01000;SP;TV;;DA;ESTRELA GRANADA;CERQUEIRA CESAR;;0;0;99999999;99999999;0;17
1411010;01000;SP;R;BARAO;;DE CAPANEMA;CERQUEIRA CESAR;;0;0;99999999;0;0;15
1411011;01000;SP;R;BARAO;;DE CAPANEMA;CERQUEIRA CESAR;;0;0;0;99999999;0;240
1411900;01000;SP;R;PADRE;;JOAO MANUEL;CERQUEIRA CESAR;;755;755;755;755;6;34
1411901;01000;SP;R;PADRE;;JOAO MANUEL;CERQUEIRA CESAR;;923;923;923;923;6;34
1411902;01000;SP;R;PADRE;;JOAO MANUEL;CERQUEIRA CESAR;;755;755;755;755;6;34
1412000;01000;SP;R;;;AUGUSTA;CERQUEIRA CESAR;;1682;0;2438;0;0;2
1412100;01000;SP;R;;;AUGUSTA;CERQUEIRA CESAR;;2440;0;99999999;0;0;2
1412900;01000;SP;R;;;AUGUSTA;CERQUEIRA CESAR;;2516;2516;2516;2516;6;34
1412901;01000;SP;R;;;AUGUSTA;CERQUEIRA CESAR;;2530;2530;2530;2530;6;34
1413000;01000;SP;R;;;AUGUSTA;CERQUEIRA CESAR;;0;1681;0;2429;0;32
1413100;01000;SP;R;;;AUGUSTA;CERQUEIRA CESAR;;0;2431;0;99999999;0;32
1414000;01000;SP;R;;;HADDOCK LOBO;CERQUEIRA CESAR;;0;0;1048;0;0;2
1414001;01000;SP;R;;;HADDOCK LOBO;CERQUEIRA CESAR;;0;0;0;1079;0;32
1414002;01000;SP;R;;;HADDOCK LOBO;CERQUEIRA CESAR;;1050;0;99999999;0;0;2
1414003;01000;SP;R;;;HADDOCK LOBO;CERQUEIRA CESAR;;0;1081;0;99999999;0;32
1414010;01000;SP;R;;;SARANDI;CERQUEIRA CESAR;;0;0;99999999;99999999;0;17
1414020;01000;SP;R;;;VITORIO FASANO;CERQUEIRA CESAR;;0;0;99999999;99999999;0;17
1414900;01000;SP;R;;;HADDOCK LOBO;CERQUEIRA CESAR;;578;578;578;578;6;34
1414901;01000;SP;R;;;HADDOCK LOBO;CERQUEIRA CESAR;;337;337;337;337;6;34
1414902;01000;SP;R;;;HADDOCK LOBO;CERQUEIRA CESAR;;400;400;400;400;6;34
1414903;01000;SP;R;;;HADDOCK LOBO;CERQUEIRA CESAR;;403;403;403;403;6;34
1414904;01000;SP;R;;;HADDOCK LOBO;CERQUEIRA CESAR;;585;585;585;585;6;34
1414905;01000;SP;R;;;HADDOCK LOBO;CERQUEIRA CESAR;;595;595;595;595;6;34
1414906;01000;SP;R;;;HADDOCK LOBO;CERQUEIRA CESAR;;1307;1307;1307;1307;6;34
1414907;01000;SP;R;;;HADDOCK LOBO;CERQUEIRA CESAR;;1327;1327;1327;1327;6;34
1415000;01000;SP;R;;;BELA CINTRA;CONSOLACAO;;0;0;1050;1049;0;34
1415001;01000;SP;R;;;BELA CINTRA;CONSOLACAO;;1052;1051;1810;1809;0;34
1415002;01000;SP;R;;;BELA CINTRA;CONSOLACAO;;1812;1811;99999999;99999999;0;34
1415010;01000;SP;R;;;PEDRO TAQUES;CONSOLACAO;;0;0;99999999;99999999;0;17
1415900;01000;SP;R;;;BELA CINTRA;CONSOLACAO;;299;299;299;299;6;34
1415901;01000;SP;R;;;BELA CINTRA;CONSOLACAO;;643;643;643;643;6;34
1415902;01000;SP;R;;;BELA CINTRA;CONSOLACAO;;746;746;746;746;6;34
1415903;01000;SP;R;;;BELA CINTRA;CONSOLACAO;;847;847;847;847;6;34
1415904;01000;SP;R;;;BELA CINTRA;CONSOLACAO;;952;952;952;952;6;34
1415905;01000;SP;R;;;BELA CINTRA;CONSOLACAO;;967;967;967;967;6;34
1415906;01000;SP;R;;;BELA CINTRA;CONSOLACAO;;986;986;986;986;6;34
1415907;01000;SP;R;;;BELA CINTRA;CONSOLACAO;;1149;1149;1149;1149;6;34
1415908;01000;SP;R;;;BELA CINTRA;CONSOLACAO;;1196;1196;1196;1196;6;34
1415909;01000;SP;R;;;BELA CINTRA;CONSOLACAO;;986;986;986;986;6;34
1415910;01000;SP;R;;;BELA CINTRA;CONSOLACAO;;881;881;881;881;6;34
1416000;01000;SP;R;;DA;CONSOLACAO;CERQUEIRA CESAR;;2462;0;99999999;0;0;2
1416001;01000;SP;R;;DA;CONSOLACAO;CERQUEIRA CESAR;;0;2461;0;99999999;0;32
1416020;01000;SP;JARDIM;;;CONSOLACAO;CERQUEIRA CESAR;;0;0;99999999;99999999;0;17
1416900;01000;SP;R;;DA;CONSOLACAO;CERQUEIRA CESAR;;2697;2697;2697;2697;6;34
1416901;01000;SP;R;;DA;CONSOLACAO;CERQUEIRA CESAR;;2710;2710;2710;2710;6;34
1416902;01000;SP;R;;DA;CONSOLACAO;CERQUEIRA CESAR;;3064;3064;3064;3064;6;34
1416903;01000;SP;R;;DA;CONSOLACAO;CERQUEIRA CESAR;;3240;3240;3240;3240;6;34
1416904;01000;SP;R;;DA;CONSOLACAO;CERQUEIRA CESAR;;3367;3367;3367;3367;6;34
1416905;01000;SP;R;;DA;CONSOLACAO;CERQUEIRA CESAR;;3574;3574;3574;3574;6;34
1416906;01000;SP;R;;DA;CONSOLACAO;CERQUEIRA CESAR;;3638;3638;3638;3638;6;34
1416907;01000;SP;R;;DA;CONSOLACAO;CERQUEIRA CESAR;;3741;3741;3741;3741;6;34
1417010;01000;SP;R;DR;;MELO ALVES;CERQUEIRA CESAR;;0;0;99999999;99999999;0;17
1417020;01000;SP;AL;;;TIETE;CERQUEIRA CESAR;;0;0;99999999;99999999;0;17
1417030;01000;SP;R;;;CHABAD;CERQUEIRA CESAR;;0;0;99999999;99999999;0;17
1417040;01000;SP;TV;;;ALCIDES CYRILLO;CERQUEIRA CESAR;;0;0;99999999;99999999;0;17
1417050;01000;SP;R;;;JARDIM MINERVA;CERQUEIRA CESAR;;0;0;99999999;99999999;0;17
1417060;01000;SP;R;;;CAMIRANGA;CERQUEIRA CESAR;;0;0;99999999;99999999;0;17
1418000;01000;SP;AL;;;SANTOS;CERQUEIRA CESAR;;0;0;598;0;0;2
1418100;01000;SP;AL;;;SANTOS;CERQUEIRA CESAR;;600;0;1778;0;0;2
1418200;01000;SP;AL;;;SANTOS;CERQUEIRA CESAR;;1780;0;99999999;0;0;2
1418900;01000;SP;AL;;;SANTOS;CERQUEIRA CESAR;;336;336;336;336;6;34
1418902;01000;SP;AL;;;SANTOS;CERQUEIRA CESAR;;1000;1000;1000;1000;6;34
1418903;01000;SP;AL;;;SANTOS;CERQUEIRA CESAR;;1470;1470;1470;1470;6;34
1418904;01000;SP;AL;;;SANTOS;CERQUEIRA CESAR;;1800;1800;1800;1800;6;34
1419000;01000;SP;AL;;;SANTOS;CERQUEIRA CESAR;;0;0;0;599;0;32
1419001;01000;SP;AL;;;SANTOS;CERQUEIRA CESAR;;0;601;0;1699;0;32
1419002;01000;SP;AL;;;SANTOS;CERQUEIRA CESAR;;0;1701;0;99999999;0;32
1419010;01000;SP;PC;;;ALEXANDRE DE GUSMAO;CERQUEIRA CESAR;;0;0;99999999;99999999;0;17
1419901;01000;SP;AL;;;SANTOS;CERQUEIRA CESAR;;647;647;647;647;6;34
1419902;01000;SP;AL;;;SANTOS;CERQUEIRA CESAR;;705;705;705;705;6;34
1419903;01000;SP;AL;;;SANTOS;CERQUEIRA CESAR;;1165;1165;1165;1165;6;34
1419904;01000;SP;AL;;;SANTOS;CERQUEIRA CESAR;;1293;1293;1293;1293;6;34
1419905;01000;SP;AL;;;SANTOS;CERQUEIRA CESAR;;1437;1437;1437;1437;6;34
1419906;01000;SP;AL;;;SANTOS;CERQUEIRA CESAR;;1787;1787;1787;1787;6;34
1419907;01000;SP;AL;;;SANTOS;CERQUEIRA CESAR;;2477;2477;2477;2477;6;34
1419908;01000;SP;AL;;;SANTOS;CERQUEIRA CESAR;;1357;1357;1357;1357;6;34
1419909;01000;SP;AL;;;SANTOS;CERQUEIRA CESAR;;1827;1827;1827;1827;6;34
1419910;01000;SP;AL;;;SANTOS;CERQUEIRA CESAR;;1893;1893;1893;1893;6;34
1419911;01000;SP;AL;;;SANTOS;CERQUEIRA CESAR;;2101;2101;2101;2101;6;34
1419912;01000;SP;AL;;;SANTOS;CERQUEIRA CESAR;;2223;2223;2223;2223;6;34
1419913;01000;SP;AL;;;SANTOS;CERQUEIRA CESAR;;415;415;415;415;6;34
1420000;01000;SP;AL;;;JAU;JARDIM PAULISTA;;0;0;660;659;0;34
1420001;01000;SP;AL;;;JAU;JARDIM PAULISTA;;662;661;1400;1399;0;34
1420002;01000;SP;AL;;;JAU;JARDIM PAULISTA;;1402;1401;99999999;99999999;0;34
1420020;01000;SP;R;;;MARILIA;JARDIM PAULISTA;;0;0;99999999;99999999;0;17
1420040;01000;SP;TV;DR;;LUIZ RIBEIRO DE MENDONCA;JARDIM PAULISTA;;0;0;99999999;99999999;0;17
1420900;01000;SP;AL;;;JAU;JARDIM PAULISTA;;66;66;66;66;6;34
1420901;01000;SP;AL;;;JAU;JARDIM PAULISTA;;88;88;88;88;6;34
1420902;01000;SP;AL;;;JAU;JARDIM PAULISTA;;150;150;150;150;6;34
1420903;01000;SP;AL;;;JAU;JARDIM PAULISTA;;1177;1177;1177;1177;6;34
1420904;01000;SP;AL;;;JAU;JARDIM PAULISTA;;1742;1742;1742;1742;6;34
1420905;01000;SP;AL;;;JAU;JARDIM PAULISTA;;1754;1754;1754;1754;6;34
1420906;01000;SP;AL;;;JAU;JARDIM PAULISTA;;1767;1767;1767;1767;6;34
1421000;01000;SP;AL;;;ITU;JARDIM PAULISTA;;0;0;840;839;0;34
1421001;01000;SP;AL;;;ITU;JARDIM PAULISTA;;842;841;99999999;99999999;0;34
1421010;01000;SP;R;;;CONVENCAO DE ITU;JARDIM PAULISTA;;0;0;99999999;99999999;0;17
1421020;01000;SP;R;;;SEVERO FOURNIER;JARDIM PAULISTA;;0;0;99999999;99999999;0;17
1421030;01000;SP;R;;;MOACIR PIZA;JARDIM PAULISTA;;0;0;99999999;99999999;0;17
